year,month,rank_GPA,nstocks,ret_vw
1968,11,2,125,6.1680
1968,11,3,137,6.2879
1968,11,4,152,5.4637
1968,11,5,160,6.8855
1968,11,6,154,0.6408
1968,11,7,148,5.0798
1968,11,8,171,4.6532
1968,11,9,187,6.5207
1968,11,10,159,7.6245
1968,12,1,129,-2.2334
1968,12,2,125,-3.7683
1968,12,3,137,-4.4717
1968,12,4,154,-3.2827
1968,12,5,160,-2.2680
1968,12,6,154,-3.0385
1968,12,7,148,-3.3745
1968,12,8,171,-5.0707
1968,12,9,187,-3.7547
1968,12,10,159,-4.3477
1969,1,1,129,1.1394
1969,1,2,125,2.1747
1969,1,3,137,0.1900
1969,1,4,154,-1.6105
1969,1,5,160,-0.6525
1969,1,6,154,-1.0984
1969,1,7,148,-1.9185
1969,1,8,170,-0.7170
1969,1,9,187,-1.8732
1969,1,10,159,-2.8609
1969,2,1,129,-6.5589
1969,2,2,125,-6.3556
1969,2,3,137,-4.4029
1969,2,4,154,-6.1377
1969,2,5,160,-7.3685
1969,2,6,153,-3.7940
1969,2,7,148,-5.4012
1969,2,8,170,-4.3268
1969,2,9,187,-4.0994
1969,2,10,158,-3.2029
1969,3,1,129,-0.1431
1969,3,2,125,0.7546
1969,3,3,137,2.2760
1969,3,4,154,4.3718
1969,3,5,160,5.3930
1969,3,6,153,4.2176
1969,3,7,147,2.1901
1969,3,8,170,3.2661
1969,3,9,187,3.5266
1969,3,10,158,4.6373
1969,4,1,129,0.8695
1969,4,2,125,1.4973
1969,4,3,136,3.4977
1969,4,4,154,-0.6552
1969,4,5,160,1.6979
1969,4,6,153,-0.3024
1969,4,7,147,2.5259
1969,4,8,170,4.4448
1969,4,9,187,3.1605
1969,4,10,158,3.5566
1969,5,1,129,0.0540
1969,5,2,125,-1.6248
1969,5,3,137,1.7397
1969,5,4,154,2.4809
1969,5,5,158,0.6482
1969,5,6,153,0.2098
1969,5,7,147,-2.6002
1969,5,8,169,-1.0646
1969,5,9,186,2.6538
1969,5,10,158,-0.2531
1969,6,1,129,-6.9247
1969,6,2,124,-7.6639
1969,6,3,137,-8.0069
1969,6,4,154,-10.4130
1969,6,5,159,-9.3091
1969,6,6,153,-5.6615
1969,6,7,148,-6.6759
1969,6,8,169,-4.8166
1969,6,9,187,-4.8758
1969,6,10,158,0.1565
1969,7,1,143,-5.4130
1969,7,2,135,-5.4156
1969,7,3,152,-7.1772
1969,7,4,165,-8.5569
1969,7,5,182,-6.5922
1969,7,6,174,-7.8362
1969,7,7,188,-5.4258
1969,7,8,170,-5.9635
1969,7,9,183,-4.5482
1969,7,10,181,-4.6174
1969,8,1,142,0.3692
1969,8,2,135,0.7743
1969,8,3,151,3.4253
1969,8,4,165,6.6890
1969,8,5,182,5.3704
1969,8,6,174,3.4585
1969,8,7,188,4.0647
1969,8,8,170,5.7401
1969,8,9,183,7.7595
1969,8,10,181,7.0557
1969,9,1,142,-4.4202
1969,9,2,135,-3.5010
1969,9,3,151,-4.9624
1969,9,4,164,-5.7524
1969,9,5,182,-4.5446
1969,9,6,174,-2.1630
1969,9,7,188,-0.5192
1969,9,8,170,-0.5595
1969,9,9,183,0.5241
1969,9,10,181,0.4649
1969,10,1,142,6.7242
1969,10,2,135,8.0093
1969,10,3,151,4.3269
1969,10,4,163,1.5799
1969,10,5,182,4.5364
1969,10,6,173,4.4530
1969,10,7,188,4.8627
1969,10,8,170,6.0243
1969,10,9,183,7.6474
1969,10,10,181,7.0694
1969,11,1,142,-5.2549
1969,11,2,135,-5.4569
1969,11,3,151,-1.9028
1969,11,4,164,-5.0279
1969,11,5,181,-3.3462
1969,11,6,174,-3.3892
1969,11,7,187,-3.8799
1969,11,8,170,-3.6447
1969,11,9,183,-1.8934
1969,11,10,181,-1.1128
1969,12,1,142,-1.7437
1969,12,2,135,-2.5678
1969,12,3,150,-3.7891
1969,12,4,164,-3.8718
1969,12,5,181,-3.2066
1969,12,6,174,-2.7614
1969,12,7,188,-3.9628
1969,12,8,170,0.4667
1969,12,9,183,-0.7351
1969,12,10,181,1.4760
1970,1,1,142,-5.0874
1970,1,2,135,-5.1402
1970,1,3,151,-6.5328
1970,1,4,164,-10.2626
1970,1,5,181,-11.3883
1970,1,6,174,-9.6542
1970,1,7,188,-7.6832
1970,1,8,170,-6.6033
1970,1,9,183,-7.6728
1970,1,10,181,-6.0972
1970,2,1,142,8.1805
1970,2,2,135,10.4594
