year,month,rank_Fq_12,nstocks,ret_vw
1987,3,7,508,3.0477
1987,4,1,710,1.1022
1987,4,2,1155,-0.1803
1987,4,3,1743,0.3079
1987,4,4,1851,-0.8969
1987,4,5,1600,-1.6824
1987,4,6,1070,-0.9608
1987,4,7,460,-1.3492
1987,5,1,810,0.9821
1987,5,2,1286,1.8434
1987,5,3,1898,1.0604
1987,5,4,1987,0.8495
1987,5,5,1747,1.2230
1987,5,6,1171,1.3165
1987,5,7,511,2.2393
1987,6,1,806,3.1006
1987,6,2,1300,4.5930
1987,6,3,1893,3.7618
1987,6,4,2000,5.4413
1987,6,5,1765,5.4446
1987,6,6,1168,4.1647
1987,6,7,509,3.8243
1987,7,1,690,6.6712
1987,7,2,1166,6.4425
1987,7,3,1709,4.7493
1987,7,4,1812,5.5228
1987,7,5,1618,5.4869
1987,7,6,1045,6.1653
1987,7,7,439,6.1187
1987,8,1,761,3.2821
1987,8,2,1275,3.7368
1987,8,3,1835,3.9250
1987,8,4,1953,3.1999
1987,8,5,1760,3.2194
1987,8,6,1167,4.6817
1987,8,7,489,3.2938
1987,9,1,761,-2.8163
1987,9,2,1276,-1.6819
1987,9,3,1829,-3.6777
1987,9,4,1943,-1.8160
1987,9,5,1756,-1.1950
1987,9,6,1182,-1.1955
1987,9,7,495,-1.8999
1987,10,1,690,-28.9770
1987,10,2,1163,-26.1495
1987,10,3,1697,-24.3910
1987,10,4,1788,-23.8715
1987,10,5,1621,-23.3513
1987,10,6,1074,-24.4680
1987,10,7,463,-23.5651
1987,11,1,755,-6.4476
1987,11,2,1270,-6.7615
1987,11,3,1834,-8.2746
1987,11,4,1936,-8.6148
1987,11,5,1765,-7.9645
1987,11,6,1170,-7.5474
1987,11,7,517,-7.9360
1987,12,1,756,9.0802
1987,12,2,1271,8.1516
1987,12,3,1838,8.3139
1987,12,4,1945,8.5794
1987,12,5,1754,9.0710
1987,12,6,1172,10.4890
1987,12,7,529,9.0357
1988,1,1,674,3.6953
1988,1,2,1147,3.1041
1988,1,3,1681,3.1997
1988,1,4,1802,4.4534
1988,1,5,1597,1.4555
1988,1,6,1071,0.9108
1988,1,7,485,4.9541
1988,2,1,747,8.0858
1988,2,2,1228,6.6561
1988,2,3,1797,7.5801
1988,2,4,1950,5.6783
1988,2,5,1760,6.3837
1988,2,6,1191,6.1927
1988,2,7,549,7.4557
1988,3,1,742,-0.7852
1988,3,2,1216,-1.7889
1988,3,3,1796,-1.5281
1988,3,4,1954,-0.7468
1988,3,5,1756,-1.8314
1988,3,6,1192,-2.5439
1988,3,7,559,-0.9163
1988,4,1,671,-0.0475
1988,4,2,1098,0.7396
1988,4,3,1641,1.4049
1988,4,4,1809,0.8229
1988,4,5,1629,1.5313
1988,4,6,1074,1.3789
1988,4,7,509,2.2573
1988,5,1,736,1.4444
1988,5,2,1218,-0.9587
1988,5,3,1761,-0.2114
1988,5,4,1967,-0.2158
1988,5,5,1752,-0.6216
1988,5,6,1215,0.1408
1988,5,7,570,-0.2379
1988,6,1,716,7.7104
1988,6,2,1209,6.7796
1988,6,3,1767,5.8347
1988,6,4,1959,4.3284
1988,6,5,1738,5.1806
1988,6,6,1217,6.2580
1988,6,7,571,6.8096
1988,7,1,567,-2.1332
1988,7,2,1043,-2.1544
1988,7,3,1523,-1.1254
1988,7,4,1768,-1.1002
1988,7,5,1565,-1.1831
1988,7,6,1115,-1.6815
1988,7,7,506,-0.9654
1988,8,1,642,-2.3498
1988,8,2,1172,-2.9614
1988,8,3,1656,-2.8386
1988,8,4,1926,-2.9578
1988,8,5,1701,-3.9404
1988,8,6,1235,-4.5703
1988,8,7,562,-4.4341
1988,9,1,650,1.8307
1988,9,2,1175,3.5688
1988,9,3,1651,4.9852
1988,9,4,1916,5.2774
1988,9,5,1711,4.0552
1988,9,6,1239,4.0925
1988,9,7,567,3.1492
1988,10,1,574,0.7464
1988,10,2,1051,1.2774
1988,10,3,1524,2.2030
1988,10,4,1803,2.1466
1988,10,5,1581,1.1140
1988,10,6,1144,2.1019
1988,10,7,527,2.6524
1988,11,1,639,-3.9709
1988,11,2,1152,-3.1386
1988,11,3,1650,-1.8320
1988,11,4,1948,-1.3310
1988,11,5,1737,-1.8548
1988,11,6,1246,-2.0982
1988,11,7,586,-1.0638
1988,12,1,639,2.6903
1988,12,2,1158,3.2574
1988,12,3,1634,2.2312
1988,12,4,1934,2.2434
1988,12,5,1731,2.9574
1988,12,6,1250,2.9188
1988,12,7,582,2.4499
1989,1,1,571,6.9267
1989,1,2,1032,5.9943
1989,1,3,1471,6.8953
1989,1,4,1785,6.4416
1989,1,5,1584,7.1449
1989,1,6,1136,7.5414
1989,1,7,523,7.8754
1989,2,1,644,-0.2299
1989,2,2,1136,-1.1168
1989,2,3,1622,-1.9242
1989,2,4,1904,-1.5804
1989,2,5,1726,-1.6213
1989,2,6,1223,-2.1563
1989,2,7,566,-2.3761
1989,3,1,648,4.0343
1989,3,2,1123,1.6656
1989,3,3,1627,2.2004
1989,3,4,1891,2.6840
1989,3,5,1729,2.7675
1989,3,6,1204,2.0436
1989,3,7,559,2.3734
1989,4,1,596,3.2286
1989,4,2,1041,4.6275
1989,4,3,1466,5.0671
1989,4,4,1751,5.7535
1989,4,5,1558,5.5813
1989,4,6,1095,6.2484
1989,4,7,493,5.5061
1989,5,1,648,5.2130
1989,5,2,1113,5.5680
1989,5,3,1558,4.5020
1989,5,4,1838,5.0689
1989,5,5,1642,4.4593
1989,5,6,1168,3.8760
1989,5,7,541,2.4643
1989,6,1,658,-3.2366
1989,6,2,1108,-1.9688
1989,6,3,1551,-0.9768
1989,6,4,1829,-0.9320
1989,6,5,1630,-1.7614
1989,6,6,1171,-2.2906
1989,6,7,541,-1.1128
1989,7,1,567,6.9356
1989,7,2,958,5.7339
1989,7,3,1395,7.4192
1989,7,4,1610,8.2823
1989,7,5,1457,9.2262
1989,7,6,1012,9.1204
1989,7,7,486,8.3729
1989,8,1,687,3.4292
1989,8,2,1116,3.3620
1989,8,3,1575,1.4776
1989,8,4,1756,1.7414
1989,8,5,1600,2.5796
1989,8,6,1106,4.3117
1989,8,7,565,4.5322
1989,9,1,689,-0.8652
1989,9,2,1123,-0.0960
1989,9,3,1578,0.0942
1989,9,4,1766,0.0940
1989,9,5,1597,-0.2003
1989,9,6,1101,0.1453
1989,9,7,566,-1.8105
1989,10,1,642,-5.8608
1989,10,2,1011,-4.0192
1989,10,3,1405,-2.3549
1989,10,4,1592,-2.2034
1989,10,5,1450,-3.0674
1989,10,6,978,-2.9713
1989,10,7,520,-3.5090
1989,11,1,754,0.7094
1989,11,2,1142,-0.1795
1989,11,3,1585,0.4845
1989,11,4,1767,1.8374
1989,11,5,1591,1.8534
1989,11,6,1084,2.4826
1989,11,7,579,2.6391
1989,12,1,768,-0.7939
1989,12,2,1154,2.3553
1989,12,3,1607,2.9638
1989,12,4,1776,2.3191
1989,12,5,1586,2.5375
1989,12,6,1081,3.4708
1989,12,7,593,3.2094
1990,1,1,725,-9.3576
1990,1,2,1040,-6.0159
1990,1,3,1480,-6.8328
1990,1,4,1613,-7.1365
1990,1,5,1408,-8.3461
1990,1,6,960,-8.5590
1990,1,7,533,-7.8721
1990,2,1,837,0.2043
1990,2,2,1166,0.9899
1990,2,3,1664,0.9602
1990,2,4,1770,1.1580
1990,2,5,1537,1.8317
1990,2,6,1044,2.7093
1990,2,7,613,2.0276
1990,3,1,848,4.2327
1990,3,2,1188,3.6638
1990,3,3,1672,3.4232
1990,3,4,1790,3.5949
1990,3,5,1541,4.1387
1990,3,6,1063,3.7490
1990,3,7,612,3.1779
1990,4,1,802,-2.7192
1990,4,2,1087,-2.7326
1990,4,3,1553,-2.5872
1990,4,4,1622,-1.9802
1990,4,5,1362,-2.3599
1990,4,6,953,-2.3186
1990,4,7,550,-1.8483
1990,5,1,906,9.7576
1990,5,2,1232,9.2125
1990,5,3,1748,8.7866
1990,5,4,1821,10.9187
1990,5,5,1553,10.0098
1990,5,6,1097,9.0819
1990,5,7,614,9.1501
1990,6,1,914,0.0109
1990,6,2,1246,-0.7463
1990,6,3,1762,-0.5199
1990,6,4,1824,-0.1181
1990,6,5,1561,-1.5715
1990,6,6,1109,-0.6083
1990,6,7,616,-0.1212
1990,7,1,848,-5.0203
1990,7,2,1158,-1.5973
1990,7,3,1640,-0.6103
1990,7,4,1707,-0.4454
1990,7,5,1441,-2.0042
1990,7,6,1020,0.5218
1990,7,7,575,1.5699
1990,8,1,952,-13.5920
1990,8,2,1309,-10.6670
1990,8,3,1766,-9.6894
1990,8,4,1848,-8.9727
1990,8,5,1608,-9.4627
1990,8,6,1145,-8.1154
1990,8,7,620,-8.9067
1990,9,1,952,-9.7400
1990,9,2,1310,-5.8002
1990,9,3,1769,-5.8846
1990,9,4,1851,-5.0878
1990,9,5,1631,-3.9811
1990,9,6,1150,-3.1760
1990,9,7,617,-5.2863
1990,10,1,864,-3.3358
1990,10,2,1204,-2.5183
1990,10,3,1630,-1.3196
1990,10,4,1709,-1.4466
1990,10,5,1519,0.3547
1990,10,6,1051,-1.0856
1990,10,7,561,-3.5038
1990,11,1,958,9.2694
1990,11,2,1305,7.4100
1990,11,3,1780,7.4384
1990,11,4,1863,6.4357
1990,11,5,1645,5.3100
1990,11,6,1160,5.7181
1990,11,7,629,5.5220
1990,12,1,962,4.9984
1990,12,2,1330,4.4601
1990,12,3,1793,4.1526
1990,12,4,1875,3.4379
1990,12,5,1649,1.9026
1990,12,6,1170,2.1292
1990,12,7,639,2.8269
1991,1,1,885,8.5616
1991,1,2,1248,6.7179
1991,1,3,1669,5.9067
1991,1,4,1740,4.4314
1991,1,5,1529,4.2350
1991,1,6,1066,4.0397
1991,1,7,560,3.4549
1991,2,1,957,7.9663
1991,2,2,1368,7.5290
1991,2,3,1806,7.4606
1991,2,4,1894,6.6425
1991,2,5,1682,7.1258
1991,2,6,1170,7.2455
1991,2,7,623,8.5483
1991,3,1,960,2.3921
1991,3,2,1390,2.9261
1991,3,3,1808,2.9082
1991,3,4,1890,3.4822
1991,3,5,1688,3.5320
1991,3,6,1167,2.9722
1991,3,7,618,1.9536
1991,4,1,874,-0.3024
1991,4,2,1265,0.4935
1991,4,3,1654,0.4109
1991,4,4,1765,0.0230
1991,4,5,1552,0.3616
1991,4,6,1067,0.8009
1991,4,7,544,0.9036
1991,5,1,943,5.6400
1991,5,2,1382,7.1308
1991,5,3,1823,5.2485
1991,5,4,1916,3.3993
1991,5,5,1706,2.8191
1991,5,6,1207,4.0081
1991,5,7,619,4.0229
1991,6,1,944,-7.1860
1991,6,2,1391,-4.9207
1991,6,3,1827,-4.5723
1991,6,4,1944,-3.8441
1991,6,5,1720,-4.1553
1991,6,6,1214,-4.9418
1991,6,7,626,-5.2931
1991,7,1,827,4.7356
1991,7,2,1246,3.8885
1991,7,3,1617,4.7131
1991,7,4,1740,4.4511
1991,7,5,1553,5.2542
1991,7,6,1087,5.6085
1991,7,7,557,4.7078
1991,8,1,950,3.3142
1991,8,2,1415,2.3936
1991,8,3,1784,2.2162
1991,8,4,1887,2.1769
1991,8,5,1661,2.6671
1991,8,6,1152,3.9404
1991,8,7,589,2.5618
1991,9,1,946,-0.8269
1991,9,2,1422,-2.1868
1991,9,3,1801,-2.3179
1991,9,4,1911,-1.8557
1991,9,5,1664,-2.1965
1991,9,6,1153,-1.4904
1991,9,7,585,-1.1162
1991,10,1,848,1.8994
1991,10,2,1297,1.0739
1991,10,3,1696,2.2724
1991,10,4,1781,2.4140
1991,10,5,1536,1.9772
1991,10,6,1051,3.3293
1991,10,7,524,2.3438
1991,11,1,947,-3.4483
1991,11,2,1412,-4.7914
1991,11,3,1850,-3.8639
1991,11,4,1956,-3.9130
1991,11,5,1666,-3.8943
1991,11,6,1158,-2.8978
1991,11,7,589,-4.6508
1991,12,1,948,11.3651
1991,12,2,1400,10.4351
1991,12,3,1848,11.5917
1991,12,4,1960,11.1258
1991,12,5,1687,11.7322
1991,12,6,1161,13.3595
1991,12,7,591,11.3236
1992,1,1,864,4.5960
1992,1,2,1266,3.3491
1992,1,3,1705,-0.4463
1992,1,4,1810,-0.5357
1992,1,5,1563,-1.1214
1992,1,6,1037,-1.6386
1992,1,7,540,-3.8936
1992,2,1,925,1.9095
1992,2,2,1357,2.2266
1992,2,3,1831,0.6765
1992,2,4,1972,0.7451
1992,2,5,1718,0.8189
1992,2,6,1184,1.7934
1992,2,7,611,0.9365
1992,3,1,945,-3.3350
1992,3,2,1357,-2.9920
1992,3,3,1838,-2.4924
1992,3,4,1975,-1.6601
1992,3,5,1720,-2.9097
1992,3,6,1199,-2.8622
1992,3,7,603,-2.3735
1992,4,1,862,-3.1038
1992,4,2,1249,0.2832
1992,4,3,1721,2.6409
1992,4,4,1836,1.6668
1992,4,5,1586,1.4499
1992,4,6,1096,-0.1080
1992,4,7,552,2.3448
1992,5,1,931,0.0288
1992,5,2,1361,0.3625
1992,5,3,1879,-0.6353
1992,5,4,2016,-0.0319
1992,5,5,1760,0.8510
1992,5,6,1245,1.8819
1992,5,7,647,0.5485
1992,6,1,909,-3.9357
1992,6,2,1346,-3.2274
1992,6,3,1879,-2.8936
1992,6,4,2003,-2.8698
1992,6,5,1763,-3.5723
1992,6,6,1267,-4.1757
1992,6,7,661,-3.1333
1992,7,1,799,4.5392
1992,7,2,1168,3.7714
1992,7,3,1682,4.4751
1992,7,4,1798,4.4601
1992,7,5,1557,4.8363
1992,7,6,1102,4.7430
1992,7,7,567,4.1548
1992,8,1,858,-4.3416
1992,8,2,1292,-3.5418
1992,8,3,1794,-1.8820
1992,8,4,1945,-1.9051
1992,8,5,1674,-1.5691
1992,8,6,1228,-1.0317
1992,8,7,635,-1.2792
1992,9,1,858,1.4084
1992,9,2,1281,1.4408
1992,9,3,1792,0.5411
1992,9,4,1946,1.5238
1992,9,5,1679,0.5746
1992,9,6,1234,1.1260
1992,9,7,644,0.6440
1992,10,1,725,-0.3451
1992,10,2,1126,2.4077
1992,10,3,1631,0.8998
1992,10,4,1811,1.4484
1992,10,5,1561,2.0892
1992,10,6,1168,2.8485
1992,10,7,603,2.1442
1992,11,1,815,3.8658
1992,11,2,1237,3.7037
1992,11,3,1744,3.2924
1992,11,4,1975,3.7345
1992,11,5,1716,3.9217
1992,11,6,1285,3.7936
1992,11,7,677,3.1158
1992,12,1,823,-2.0671
1992,12,2,1248,0.8823
1992,12,3,1747,1.2974
1992,12,4,1963,2.4145
1992,12,5,1701,1.0820
1992,12,6,1281,1.5397
1992,12,7,679,1.4631
1993,1,1,724,-0.2716
1993,1,2,1118,-0.7156
1993,1,3,1579,-0.4570
1993,1,4,1803,0.8097
1993,1,5,1561,0.1130
1993,1,6,1194,-0.3752
1993,1,7,625,-1.2036
1993,2,1,822,-0.4477
1993,2,2,1230,-1.4467
1993,2,3,1676,-0.4748
1993,2,4,1943,1.0030
1993,2,5,1728,0.0075
1993,2,6,1335,1.1374
1993,2,7,714,0.9385
1993,3,1,822,-0.1136
1993,3,2,1246,0.2192
1993,3,3,1680,1.3302
1993,3,4,1946,2.7343
1993,3,5,1726,2.4765
1993,3,6,1346,2.9057
1993,3,7,713,2.6245
1993,4,1,759,-4.2345
1993,4,2,1156,-3.0925
1993,4,3,1547,-2.6353
1993,4,4,1797,-1.2207
1993,4,5,1568,-3.1068
1993,4,6,1224,-2.8977
1993,4,7,641,-2.1476
1993,5,1,851,4.8573
1993,5,2,1280,3.9763
1993,5,3,1742,3.9526
1993,5,4,1960,3.6831
1993,5,5,1718,3.5775
1993,5,6,1365,3.6878
1993,5,7,738,2.6492
1993,6,1,856,-3.6491
1993,6,2,1291,-3.4160
1993,6,3,1754,-1.4568
1993,6,4,1956,-0.5190
1993,6,5,1737,0.3560
1993,6,6,1378,0.7227
1993,6,7,738,-0.7786
1993,7,1,751,-1.2218
1993,7,2,1155,-3.3530
1993,7,3,1546,-2.2367
1993,7,4,1770,-1.3183
1993,7,5,1577,-1.0870
1993,7,6,1248,0.0772
1993,7,7,676,1.0627
1993,8,1,890,3.0260
1993,8,2,1311,4.1882
1993,8,3,1703,4.0792
1993,8,4,1931,4.0965
1993,8,5,1717,4.2175
1993,8,6,1352,5.0977
1993,8,7,739,5.2701
1993,9,1,899,-2.4850
1993,9,2,1325,-1.6403
1993,9,3,1712,-1.5178
1993,9,4,1946,-0.7801
1993,9,5,1725,-0.1609
1993,9,6,1348,0.3353
1993,9,7,738,-0.5994
1993,10,1,828,4.8654
1993,10,2,1209,3.6825
1993,10,3,1588,2.0850
1993,10,4,1780,2.7205
1993,10,5,1612,1.7850
1993,10,6,1231,2.0587
1993,10,7,693,2.1763
1993,11,1,946,1.0732
1993,11,2,1355,1.5390
1993,11,3,1784,1.0967
1993,11,4,1958,-0.5712
1993,11,5,1776,-1.9231
1993,11,6,1344,-2.0045
1993,11,7,763,-2.1281
1993,12,1,962,-1.1196
1993,12,2,1352,0.0226
1993,12,3,1781,1.5289
1993,12,4,1960,1.9541
1993,12,5,1775,1.5618
1993,12,6,1354,1.7727
1993,12,7,766,2.7291
1994,1,1,898,2.4703
1994,1,2,1226,2.9014
1994,1,3,1661,4.1024
1994,1,4,1802,2.8651
1994,1,5,1634,2.8875
1994,1,6,1239,3.3190
1994,1,7,674,2.6813
1994,2,1,1008,-0.6457
1994,2,2,1375,-1.3418
1994,2,3,1863,-1.2240
1994,2,4,2022,-1.3290
1994,2,5,1766,-1.3561
1994,2,6,1362,-1.4526
1994,2,7,734,-1.9318
1994,3,1,1012,-6.4147
1994,3,2,1374,-4.8466
1994,3,3,1883,-5.2051
1994,3,4,1997,-4.2497
1994,3,5,1758,-4.5715
1994,3,6,1352,-3.6278
1994,3,7,733,-5.1078
1994,4,1,939,-1.3965
1994,4,2,1255,0.2946
1994,4,3,1742,-0.0733
1994,4,4,1856,1.3979
1994,4,5,1615,0.8806
1994,4,6,1229,0.5947
1994,4,7,649,2.0250
1994,5,1,1056,0.9123
1994,5,2,1418,1.2893
1994,5,3,1955,0.9093
1994,5,4,2037,0.9035
1994,5,5,1810,0.6927
1994,5,6,1365,0.6251
1994,5,7,710,-0.2008
1994,6,1,1051,-4.0806
1994,6,2,1406,-2.4658
1994,6,3,1967,-2.2566
1994,6,4,2052,-2.2290
1994,6,5,1826,-2.5092
1994,6,6,1376,-2.1289
1994,6,7,711,-2.2239
1994,7,1,961,-0.0386
1994,7,2,1278,2.1962
1994,7,3,1780,1.6315
1994,7,4,1851,2.8759
1994,7,5,1679,3.3273
1994,7,6,1232,3.4496
1994,7,7,616,0.8353
1994,8,1,1115,8.2382
1994,8,2,1445,6.2274
1994,8,3,2012,6.7634
1994,8,4,2040,4.8745
1994,8,5,1836,5.2686
1994,8,6,1346,3.9179
1994,8,7,655,3.1836
1994,9,1,1111,0.2720
1994,9,2,1452,-0.8543
1994,9,3,2006,-0.2449
1994,9,4,2049,-1.2185
1994,9,5,1851,-1.1338
